sgRNA	Gene	Day0	Day23
s_20929	FGF22	319.693017923	230.558205811
s_5696	BRAP	1423.39510361	1861.06583731
s_10145	CCR8	1047.15774238	1383.34923487
s_43765	PPWD1	162.021291396	165.079675361
s_1819	AKN	1914.89593389	1710.74188712
s_54653	SUGP1	738.338636632	607.751430519
s_42175	PKLR	1319.00554674	1493.09494083
s_771	ACSM3	4629.02441258	5107.32537513
s_23766	GPR16	4151.65966813	3673.25333499
s_17537	EFHA2	317.518235488	319.092556843
s_28059	ITGB1BP	864.476017854	950.822040766
s_18279	ENPP	206.604331311	175.224236417
s_46929	RFTN1	919.932969942	1228.41412056
s_6671	C16orf80	1854.00202571	752.541983768
s_60075	UBA6	2228.06460451	1714.43081841
s_51367	SLC25A2	309.906496966	597.606869463
s_9334	CBLC	1050.41991603	887.187975962
s_23639	GPR110	1382.07423735	1060.56774673
s_36430	NDUFA1	484.976482972	452.816316214
s_21213	FLOT2	815.54341307	1060.56774673
s_407	ABTB2	1716.99073232	1480.18368131
s_47953	RP11-543D5.3	328.392147663	188.135495942
s_25670	HMX1	2197.61765042	2590.5520005
s_61569	WARS2	2710.86630504	3270.23759123
s_27690	IP6K2	989.526007858	998.778147575
s_19761	FAM198B	1856.17680815	2242.87022613
s_35579	MYEO	1124.36251882	899.177002664
s_41358	PEX3	943.855576726	775.59780435
s_22435	GCFC2	2789.1584727	2685.54198129
s_19242	FAM102A	267.498239487	297.881201908
s_44880	PTAF	1031.93426534	794.042460814
s_42627	PLP1	689.406031848	757.153147885
s_15395	DDX26B	1711.55377623	1810.34303203
s_34001	MITD1	263.148674617	356.904102596
s_48575	RTBDN	1279.85946291	1008.00047581
s_40707	PCGF	520.860393147	529.361640543
s_43081	POLR2	872.087756376	1193.36927328
s_43285	PPAP2B	1039.54600386	970.188930054
s_54158	ST7L	4121.21271404	5045.53577598
s_60076	UBA7	884.049059767	1147.25763212
s_28498	KBTBD8	432.781704536	628.04055263
s_27086	IL17D	774.222546807	762.686544824
s_63634	ZNF28	2000.79984006	2203.21421473
s_63983	ZNF480	786.183850199	588.384541231
s_43908	PRDM14	264.236065835	334.770514838
s_60829	USP11	673.095163587	621.584922868
s_4411	ATP5SL	1186.34381821	806.031487517
s_43096	POLR2M	1190.69338308	770.986640233
s_34252	MMP7	1914.89593389	1767.92032216
