#chrom	txStart	txEnd	refseq	score	strand	symbol	rank
chr21	41508158	41508159	NM_005656	6.483	-	TMPRSS2	1
chr21	41508065	41508066	NM_001135099	6.438	-	TMPRSS2	2
chr1	162561505	162561506	NM_003115	5.352	+	UAP1	3
chr6	151325530	151325531	NM_144497	4.962	+	AKAP12	4
chr1	54887248	54887249	NM_014762	4.833	-	DHCR24	5
chr19	50854914	50854915	NM_001030047	4.635	+	KLK3	6
chr19	50854914	50854915	NM_001030048	4.635	+	KLK3	7
chr19	50854914	50854915	NM_001648	4.635	+	KLK3	8
chr5	38556646	38556647	NM_001127671	4.5	-	LIFR	9
chr19	50873432	50873433	NM_001002231	3.849	+	KLK2	10
chr19	50873432	50873433	NR_045763	3.849	+	KLK2	11
chr19	50873432	50873433	NR_045762	3.849	+	KLK2	12
chr19	50873432	50873433	NM_005551	3.849	+	KLK2	13
chr19	50873432	50873433	NM_001256080	3.849	+	KLK2	14
chr6	134174896	134174897	NM_005627	3.444	-	SGK1	15
chr6	134174896	134174897	NM_001291995	3.444	-	SGK1	16
chr1	36224415	36224416	NM_005119	3.297	+	THRAP3	17
chr6	134175932	134175933	NM_001143678	3.246	-	SGK1	18
chr7	88306913	88306914	NM_024636	3.243	-	STEAP4	19
chr7	88306913	88306914	NM_001205316	3.243	-	STEAP4	20
chr7	88306913	88306914	NM_001205315	3.243	-	STEAP4	21
chr5	149960736	149960737	NM_000112	3.183	+	SLC26A2	22
chr3	120682571	120682572	NM_000187	3.014	-	HGD	23
chr20	57710614	57710615	NM_199170	3.006	-	PMEPA1	24
chr20	57710614	57710615	NM_199169	3.006	-	PMEPA1	25
chr5	76547408	76547409	NM_001285460	2.982	+	IQGAP2	26
chr8	80080831	80080832	NM_001287143	2.976	-	TPD52	27
chr8	80080831	80080832	NM_001025252	2.976	-	TPD52	28
chr8	80080831	80080832	NM_001287140	2.976	-	TPD52	29
chr8	80080831	80080832	NM_001287142	2.976	-	TPD52	30
chr8	80080831	80080832	NR_105033	2.976	-	TPD52	31
chr20	57711536	57711537	NM_199171	2.928	-	PMEPA1	32
chr6	134177872	134177873	NM_001143677	2.925	-	SGK1	33
chr7	26538825	26538826	NR_022006	2.906	-	KIAA0087	34
chr13	95552692	95552693	NM_006984	2.903	+	CLDN10	35
chr6	33711751	33711752	NM_032340	2.9	-	UQCC2	36
chr20	57709975	57709976	NM_020182	2.898	-	PMEPA1	37
chr1	207032756	207032757	NM_001083924	2.892	-	C1orf116	38
chr1	207032756	207032757	NM_023938	2.892	-	C1orf116	39
chr18	58149332	58149333	NM_001144968	2.884	+	NEDD4L	40
chr18	58149332	58149333	NM_001144965	2.884	+	NEDD4L	41
chr18	58149332	58149333	NM_001144969	2.884	+	NEDD4L	42
chr18	58149332	58149333	NM_001144971	2.884	+	NEDD4L	43
chr9	83063128	83063129	NM_152573	2.854	-	RASEF	44
chr6	136550819	136550820	NM_001198616	2.835	-	MAP7	45
chr6	136550819	136550820	NM_001198617	2.835	-	MAP7	46
chr6	136550819	136550820	NM_003980	2.835	-	MAP7	47
chr1	229271061	229271062	NM_001271998	2.829	+	RAB4A	48
chr1	229271061	229271062	NR_073545	2.829	+	RAB4A	49
chr1	229271061	229271062	NM_004578	2.829	+	RAB4A	50
chr5	80622524	80622525	NR_125754	2.771	-	LINC01337	51
chr3	62319042	62319043	NM_020685	2.715	+	C3orf14	52
chr12	121298308	121298309	NM_153499	2.712	-	CAMKK2	53
chr12	121298308	121298309	NM_006549	2.712	-	CAMKK2	54
chr12	121298308	121298309	NM_153500	2.712	-	CAMKK2	55
chr12	121298308	121298309	NM_172214	2.712	-	CAMKK2	56
chr12	121298308	121298309	NM_172215	2.712	-	CAMKK2	57
chr12	121298308	121298309	NM_172216	2.712	-	CAMKK2	58
chr3	62318972	62318973	NM_001291942	2.712	+	C3orf14	59
chr3	62318972	62318973	NM_001291943	2.712	+	C3orf14	60
chr3	62318972	62318973	NM_001291941	2.712	+	C3orf14	61
chr3	62318947	62318948	NR_038283	2.711	-	PTPRG-AS1	62
chr3	62318947	62318948	NR_038281	2.711	-	PTPRG-AS1	63
chr3	62318947	62318948	NR_038282	2.711	-	PTPRG-AS1	64
chr4	23890077	23890078	NM_013261	2.529	-	PPARGC1A	65
chrX	40735552	40735553	NM_004229	2.502	-	MED14	66
chr6	116571366	116571367	NM_016104	2.49	+	RWDD1	67
chr6	116571366	116571367	NM_015952	2.49	+	RWDD1	68
chr6	116571366	116571367	NM_001007464	2.49	+	RWDD1	69
chr6	151239998	151239999	NM_005100	2.463	+	AKAP12	70
chr12	121296753	121296754	NM_172226	2.46	-	CAMKK2	71
chr12	121296753	121296754	NM_001270485	2.46	-	CAMKK2	72
chr5	69844811	69844812	NR_029426	2.459	+	SMA4	73
chr8	127082221	127082222	NR_119373	2.453	-	PCAT2	74
